DIRECCIÓN;ESQUINA;COLONIA;ALCALDIA;BOTON;ALTAVOZ;LONGITUD;LATITUD;geopoint;TIPO DE POSTE;ESTATUS CONECTIVIDAD
AV. INDEPENDENCIA;C. JOSE AZUETA;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.146751;19.433729;19.433729,-99.146751;9m;SIN WIFI
C. INDEPENDENCIA;C. DOLORES;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.142696;19.433091;19.433091,-99.142696;9m;WIFI GRATUITO_ACTIVO
C. SOLEDAD;ESQ.  C. SANTISIMA;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.12703;19.432311;19.432311,-99.12703;9m;WIFI GRATUITO_ACTIVO
AVENIDA AHUEHUETES;C. AHUEHUETES;TLAPEXCO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.131155;19.544997;19.544997,-99.131155;9m;WIFI GRATUITO_ACTIVO
C. ABASOLO;C. LONDRES;DEL CARMEN;COYOACAN;CON BOTON;CON ALTAVOZ;-99.161153;19.355257;19.355257,-99.161153;9m;WIFI GRATUITO_ACTIVO
C. RIO NILO;ENTRE CDA. RIO NILO Y AV. DE LAS TORRES;LOMAS DE SAN LORENZO;IZTAPALAPA;CON BOTON;SIN ALTAVOZ;-99.065136;19.325193;19.325193,-99.065136;9m;SIN WIFI
C. NORTE 1B;AV. PONIENTE 112;MAXIMINO ÁVILA CAMACHO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.137636;19.476176;19.476176,-99.137636;9m;WIFI GRATUITO_ACTIVO
AV. ESTADO DE MEXICO;AV. LIC. ADOLFO LOPEZ MATEOS;LOMAS DE LAS PALMAS;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.14539;19.549077;19.549077,-99.14539;9m;WIFI GRATUITO_ACTIVO
C. CANTON;C. PERSIA;ROMERO RUBIO;VENUSTIANO CARRANZA;CON BOTON;CON ALTAVOZ;-99.098437;19.444163;19.444163,-99.098437;9m;SIN WIFI
C. ARTICULO 123;ENTRE AV. BALDERAS Y 2DA. CALLE DE REVILLAGIGEDO;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.14669;19.432782;19.432782,-99.14669;9m;WIFI GRATUITO_ACTIVO
